# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
17707.1000 w204 996925 1 11699.1000 n21 n179 105 N n21->n179
17734.2000 e32 696308 1 8232.2000 p202 p203 162 N p202->p203
17737.8000 w477 608428 1 3679.8000 n175 n133 238 N n175->n133
17916.2000 w437 789836 1 5035.2000 n16 n113 216 N n16->n113
17966.2000 w550 678065 1 1763.2000 n105 n175 270 N n105->n175
18098.2000 e56 707856 1 1590.2000 p208 p204 273 N p208->p204
18101.5000 e61 602818 1 2.5000 p204 p208 299 N p204->p208
18216.1000 w11 550329 1 17913.1000 n92 n27 1 N n92->n27
18236.6000 w56 533391 1 16613.6000 n50 n7 23 N n50->n7
18251.1000 e54 768339 1 2318.1000 p206 p204 261 N p206->p204
18282.0000 w590 671479 1 882.0000 n57 n53 285 N n57->n53
18339.3000 e58 749569 1 1186.3000 p204 p200 280 N p204->p200
18439.1000 w599 963778 1 775.1000 n115 n87 287 N n115->n87
18479.0000 w500 510720 1 3746.0000 n29 n174 237 N n29->n174
18579.9000 w118 616473 1 15118.9000 n135 n30 48 N n135->n30
18582.6000 w630 878429 1 3.6000 n192 n60 299 N n192->n60
18600.9000 w277 754939 1 10443.9000 n53 n52 125 N n53->n52
18606.3000 w416 931738 1 6340.3000 n98 n63 194 N n98->n63
18687.3000 w432 811125 1 5959.3000 n61 n153 200 N n61->n153
18699.5000 e63 767646 1 38.5000 p207 p201 299 N p207->p201
18944.1000 w282 742731 1 10646.1000 n120 n131 122 N n120->n131
18970.8000 w530 564065 1 3343.8000 n16 n45 244 N n16->n45
19025.5000 e64 941430 1 74.5000 p208 p200 298 N p208->p200
19028.5000 e52 728668 1 3685.5000 p201 p200 238 N p201->p200
19090.4000 w102 912331 1 16116.4000 n29 n38 31 N n29->n38
19200.4000 w558 855825 1 2771.4000 n140 n73 253 N n140->n73
19203.3000 e62 999731 1 841.3000 p200 p203 285 N p200->p203
19224.3000 w544 745524 1 3194.3000 n171 n170 246 N n171->n170
19245.2000 e65 528003 1 2.2000 p206 p200 299 N p206->p200
19526.5000 w597 664046 1 1919.5000 n100 n40 268 N n100->n40
19607.3000 w508 669119 1 4642.3000 n115 n189 222 N n115->n189
19673.6000 w295 957169 1 11028.6000 n28 n44 116 N n28->n44
19676.8000 w88 588781 1 17108.8000 n78 n81 14 N n78->n81
19726.0000 w283 526673 1 11403.0000 n36 n129 109 N n36->n129
19768.2000 w463 989632 1 6125.2000 n157 n161 197 N n157->n161
19794.7000 w633 741579 1 1127.7000 n190 n31 281 N n190->n31
19873.3000 w576 964759 1 2909.3000 n129 n74 251 N n129->n74
19896.2000 w293 671960 1 11306.2000 n156 n169 111 N n156->n169
19985.4000 w623 546936 1 1612.4000 n51 n42 273 N n51->n42
20132.4000 w645 816268 1 1107.4000 n76 n121 281 N n76->n121
20163.9000 w448 660880 1 6960.9000 n120 n134 183 N n120->n134
20221.2000 w249 715491 1 12890.2000 n178 n102 85 N n178->n102
20341.9000 w497 941697 1 5695.9000 n102 n146 205 N n102->n146
20355.4000 e68 913218 1 105.4000 p201 p205 298 N p201->p205
20411.1000 e67 910828 1 492.1000 p203 p207 291 N p203->p207
20503.2000 w398 710745 1 8775.2000 n96 n182 153 N n96->n182
20506.5000 w612 708389 1 2463.5000 n27 n194 258 N n27->n194
20509.1000 w646 947394 1 1450.1000 n106 n98 275 N n106->n98
20572.0000 w207 853431 1 14479.0000 n113 n35 58 N n113->n35
20572.2000 w457 920617 1 7101.2000 n106 n27 181 N n106->n27
20575.8000 w638 528224 1 1754.8000 n30 n95 270 N n30->n95
20579.5000 w140 907966 1 16487.5000 n95 n30 25 N n95->n30
20587.5000 w553 525496 1 4300.5000 n9 n187 228 N n9->n187
20681.4000 w104 950097 1 17644.4000 n175 n48 5 N n175->n48
20745.4000 w481 791854 1 6581.4000 n121 n18 190 N n121->n18
20768.5000 e60 972438 1 3014.5000 p205 p200 249 N p205->p200
20874.0000 e70 716709 1 70.0000 p201 p203 298 N p201->p203
20990.2000 w464 646123 1 7313.2000 n51 n177 178 N n51->n177
21150.3000 w515 520096 1 5983.3000 n70 n136 200 N n70->n136
21182.2000 e71 645700 1 114.2000 p205 p203 298 N p205->p203
21312.0000 e69 641860 1 795.0000 p201 p204 286 N p201->p204
21319.9000 w669 978214 1 1585.9000 n20 n158 273 N n20->n158
21414.8000 e72 622443 1 11.8000 p203 p205 299 N p203->p205
21591.3000 w346 703122 1 11426.3000 n143 n103 109 N n143->n103
21691.2000 w685 806925 1 1513.2000 n20 n99 274 N n20->n99
21725.2000 e73 527270 1 2.2000 p203 p206 299 N p203->p206
21784.0000 w567 724472 1 5088.0000 n108 n36 215 N n108->n36
21838.5000 w141 574325 1 17721.5000 n194 n95 4 N n194->n95
21911.5000 w136 774311 1 17939.5000 n123 n110 1 N n123->n110
21928.6000 w271 596205 1 13941.6000 n108 n46 67 N n108->n46
22006.4000 w624 912195 1 3604.4000 n112 n175 239 N n112->n175
22016.4000 w728 979235 1 548.4000 n123 n141 290 N n123->n141
22023.1000 w396 777663 1 10354.1000 n62 n196 127 N n62->n196
22056.9000 w512 714727 1 6972.9000 n198 n124 183 N n198->n124
22322.8000 w244 506888 1 15142.8000 n118 n140 47 N n118->n140
22402.2000 w400 992384 1 10610.2000 n106 n1 123 N n106->n1
22437.4000 w466 774086 1 8707.4000 n153 n65 154 N n153->n65
22471.5000 w470 855940 1 8625.5000 n150 n190 156 N n150->n190
22666.5000 w516 522007 1 7465.5000 n135 n92 175 N n135->n92
22769.1000 w729 962613 1 1273.1000 n173 n24 278 N n173->n24
22885.1000 w333 848009 1 13127.1000 n96 n46 81 N n96->n46
22900.0000 w742 918222 1 1022.0000 n166 n191 282 N n166->n191
23050.0000 w439 700260 1 10112.0000 n85 n144 131 N n85->n144
23191.1000 w781 873908 1 155.1000 n22 n195 297 N n22->n195
23239.2000 w529 880338 1 7643.2000 n29 n138 172 N n29->n138
23360.4000 w403 999556 1 11470.4000 n154 n140 108 N n154->n140
